code;communes;Densite;tx_emploi;part_artif;part_proprio;part_agenda21;PPRN;ind_vieill
01001;L'Abergement-Clémenciat;49,6;18,3;3,7;82,5;0;0 - Absence de PPRN;83,8
01002;L'Abergement-de-Varey;25,7;17,5;0;83,2;0;0 - Absence de PPRN;109,6
01004;Ambérieu-en-Bugey;581,7;117,1;32,8;45,4;0;2 - PPRN approuvé;74,9
01005;Ambérieux-en-Dombes;102,4;34,4;6,7;74;0;0 - Absence de PPRN;64,6
01006;Ambléon;18,3;8,3;5,5;67,9;0;0 - Absence de PPRN;147,6
01007;Ambronay;72,6;43;11,9;76,9;0;2 - PPRN approuvé;76,7
01008;Ambutrix;142,5;34;10,9;73,1;0;0 - Absence de PPRN;63,9
01009;Andert-et-Condon;48,7;18,2;0;82,4;0;0 - Absence de PPRN;129,9
01010;Anglefort;36,3;46;5,1;73,7;0;2 - PPRN approuvé;70,5
01011;Apremont;25,5;15,8;1,7;78,4;0;1 - PPRN prescrit;71,2
01012;Aranc;14,3;32,4;0;80,1;0;0 - Absence de PPRN;156,3
01013;Arandas;11,4;34,8;0;88,4;0;0 - Absence de PPRN;109,3
01014;Arbent;144,9;129,1;16,3;60,2;0;0 - Absence de PPRN;85,1
01015;Arbignieu;37,6;18,8;4,5;80,4;0;0 - Absence de PPRN;140,5
01016;Arbigny;23,7;16,1;2,9;85,4;0;2 - PPRN approuvé;91,7
01017;Argis;53,8;17,2;7,3;79,4;0;1 - PPRN prescrit;128,7
01019;Armix;2,9;11,1;0;83,3;0;0 - Absence de PPRN;333,3
01021;Ars-sur-Formans;247,8;33,6;11,6;73,3;0;0 - Absence de PPRN;68,1
01022;Artemare;351,9;77,2;22,3;59,8;0;2 - PPRN approuvé;121,9
01023;Asnières-sur-Saône;15,3;34,2;0;82,8;0;2 - PPRN approuvé;106,5
01024;Attignat;164,2;61;15,4;74,9;0;0 - Absence de PPRN;60,5
01025;Bâgé-la-Ville;78,7;25,9;4,4;83,4;0;0 - Absence de PPRN;61,3
01026;Bâgé-le-Châtel;931,3;71,5;49,4;59,1;0;0 - Absence de PPRN;147,3
01027;Balan;155,4;142,1;20;74,3;0;2 - PPRN approuvé;57,9
01028;Baneins;61,9;14,4;2,9;83,3;0;0 - Absence de PPRN;50,6
01029;Beaupont;48,1;52,8;4;81;0;0 - Absence de PPRN;91,7
01030;Beauregard;908,6;20;47;47,1;0;2 - PPRN approuvé;60,5
01031;Bellignat;468,2;122,8;27;35,8;0;2 - PPRN approuvé;73,7
01032;Béligneux;238,8;71,9;14,9;54,5;0;0 - Absence de PPRN;49,7
01033;Bellegarde-sur-Valserine;748,6;82,1;27,3;43,2;0;2 - PPRN approuvé;91,6
01034;Belley;392,6;150,9;20,9;43,6;0;0 - Absence de PPRN;109,1
01035;Belleydoux;18,5;20;2,1;82,7;0;0 - Absence de PPRN;83,6
01036;Belmont-Luthézieu;26,8;16,3;0;75,1;0;0 - Absence de PPRN;95,4
01037;Bénonces;18,1;21,1;1,8;79;0;0 - Absence de PPRN;122,8
01038;Bény;39,3;20,8;1,7;88,1;0;0 - Absence de PPRN;79,3
01039;Béon;42;65,3;6,8;74,9;0;2 - PPRN approuvé;89,9
01040;Béréziat;41;21;3,7;86,5;0;0 - Absence de PPRN;49,6
01041;Bettant;213,3;12,2;12,5;78,9;0;2 - PPRN approuvé;92,8
01042;Bey;92,9;22,3;1,8;89,1;100;0 - Absence de PPRN;86,9
01043;Beynost;420,5;155,4;38,1;79,5;0;2 - PPRN approuvé;83,3
01044;Billiat;39,1;28,3;2,6;72,2;0;0 - Absence de PPRN;75
01045;Birieux;16,8;47,3;0;74;0;0 - Absence de PPRN;42,4
01046;Biziat;70,1;24,9;6,2;80,4;0;2 - PPRN approuvé;65,6
01047;Blyes;98,7;182,2;18,8;83,3;0;2 - PPRN approuvé;40,1
01049;La Boisse;309,8;64,5;36,4;79,9;0;2 - PPRN approuvé;68,4
01050;Boissey;32;23,1;0;84,4;0;0 - Absence de PPRN;81,8
01051;Bolozon;18,2;17,6;0;87;0;0 - Absence de PPRN;207,7
01052;Bouligneux;11,8;35,5;0,4;78;0;0 - Absence de PPRN;113,6
01053;Bourg-en-Bresse;1672,5;180,5;63,2;35,3;100;1 - PPRN prescrit;117,4
01054;Bourg-Saint-Christophe;138;17,8;11,4;81,4;0;0 - Absence de PPRN;51,9
01056;Boyeux-Saint-Jérôme;21,5;31,4;0;85,8;0;0 - Absence de PPRN;113,8
01057;Boz;65,1;25,7;6,1;78,6;0;2 - PPRN approuvé;59,6
01058;Brégnier-Cordon;76,5;70,7;6,5;73,6;0;2 - PPRN approuvé;63,9
01059;Brénaz;9,3;27,3;0;84,6;0;0 - Absence de PPRN;150
01060;Brénod;22,6;39,8;2,1;68,5;0;0 - Absence de PPRN;119,7
01061;Brens;177,2;14,3;14,9;87,5;0;2 - PPRN approuvé;52,5
01062;Bressolles;100,8;66,1;8,4;78,9;0;0 - Absence de PPRN;71
01063;Brion;115;167,6;18,9;77,3;0;2 - PPRN approuvé;112,3
01064;Briord;74,2;134,3;4,3;66,9;0;2 - PPRN approuvé;55,2
01065;Buellas;167,4;22,8;15,8;81,7;0;0 - Absence de PPRN;91,7
01066;La Burbanche;6,6;31,8;0;88,9;0;0 - Absence de PPRN;176,9
01067;Ceignes;25,6;76,7;5,5;68,6;0;0 - Absence de PPRN;59,5
01068;Cerdon;61,2;46,7;3;73,8;0;0 - Absence de PPRN;120,9
01069;Certines;90,3;42,3;10,7;73;0;0 - Absence de PPRN;59,6
01071;Cessy;673,5;37,3;35,5;60,6;0;0 - Absence de PPRN;37,2
01072;Ceyzériat;319;74,2;27,6;67,9;0;0 - Absence de PPRN;90,2
01073;Ceyzérieu;49,6;23,1;2,3;86,8;0;2 - PPRN approuvé;120,2
01074;Chalamont;72,9;55,7;3,2;57,2;0;0 - Absence de PPRN;72,1
01075;Chaleins;67,9;62,8;3,7;71;0;0 - Absence de PPRN;44,8
01076;Chaley;30;25;0;77,3;0;1 - PPRN prescrit;163,3
01077;Challes-la-Montagne;23;21,6;2,6;74,7;0;0 - Absence de PPRN;137,8
01078;Challex;158,3;20,8;6,4;76,3;0;0 - Absence de PPRN;91,4
01079;Champagne-en-Valromey;43,3;125,8;2,1;67,8;0;0 - Absence de PPRN;174,5
01080;Champdor;26,9;39,4;4,5;70,9;0;0 - Absence de PPRN;81,5
01081;Champfromier;21,9;157,7;2;61,9;0;0 - Absence de PPRN;89,5
01082;Chanay;34,6;81,9;3;67,7;0;0 - Absence de PPRN;42,3
01083;Chaneins;64,3;32,4;5,3;80,3;0;0 - Absence de PPRN;47,2
01084;Chanoz-Châtenay;54,8;15,8;3,2;83,1;0;0 - Absence de PPRN;55
01085;La Chapelle-du-Châtelard;26,6;29,8;0;79,9;0;0 - Absence de PPRN;69,9
01087;Charix;15,2;25,4;2,3;80;0;0 - Absence de PPRN;105,8
01088;Charnoz-sur-Ain;140,1;60,9;9,6;90,9;0;2 - PPRN approuvé;44
01089;Château-Gaillard;116,9;51,1;20,6;75,7;0;2 - PPRN approuvé;58
01090;Châtenay;22,8;33,5;0;75,2;0;0 - Absence de PPRN;107,2
01091;Châtillon-en-Michaille;83,3;56,1;10,3;69;0;0 - Absence de PPRN;66,5
01092;Châtillon-la-Palud;112,1;22,4;8,1;82,6;0;2 - PPRN approuvé;75,2
01093;Châtillon-sur-Chalaronne;276;126,7;18,2;49;0;0 - Absence de PPRN;123
01094;Chavannes-sur-Reyssouze;43,3;25,3;0;87;0;0 - Absence de PPRN;101,7
01095;Chavannes-sur-Suran;29,3;39,3;1,2;73;0;0 - Absence de PPRN;68,3
01096;Chaveyriat;57,1;32,4;4,2;78,7;0;0 - Absence de PPRN;67,3
01097;Chavornay;27,1;29,2;0;79,6;0;0 - Absence de PPRN;112,5
01098;Chazey-Bons;74,8;118,3;7,3;81,3;0;0 - Absence de PPRN;99,9
01099;Chazey-sur-Ain;70,1;35,9;9;77,5;0;2 - PPRN approuvé;60,6
01100;Cheignieu-la-Balme;25,5;23,4;4;80,5;0;0 - Absence de PPRN;196,2
01101;Chevillard;24;15,2;0;80,3;0;0 - Absence de PPRN;59,5
01102;Chevroux;54,7;29,9;2,4;81;0;0 - Absence de PPRN;52
01103;Chevry;230,6;14,8;15,5;77,9;0;0 - Absence de PPRN;48,6
01104;Chézery-Forens;9,7;47,6;0,6;73,2;0;0 - Absence de PPRN;81,5
01105;Civrieux;68,9;28,7;3;82,5;0;0 - Absence de PPRN;61,8
01106;Cize;38,4;31,3;5,6;91,3;0;0 - Absence de PPRN;104,1
01107;Cleyzieu;18,1;9;0;84,7;0;0 - Absence de PPRN;86,5
01108;Coligny;69;68,3;6,1;70,4;0;0 - Absence de PPRN;164,8
01109;Collonges;126;18,7;5,2;64,5;0;0 - Absence de PPRN;37,9
01110;Colomieu;20,3;26,3;0;80,4;0;0 - Absence de PPRN;179,2
01111;Conand;7;28,8;0;81,6;0;0 - Absence de PPRN;80
01112;Condamine;92;43,1;8,4;76,7;0;0 - Absence de PPRN;45,4
01113;Condeissiat;36,2;38;4,5;67,4;0;0 - Absence de PPRN;73,7
01114;Confort;49,2;89,2;2,8;72,2;0;0 - Absence de PPRN;199
01115;Confrançon;68,5;33,1;4,8;70,7;0;0 - Absence de PPRN;63,6
01116;Contrevoz;37,1;20,4;3,4;78;0;0 - Absence de PPRN;136,2
01117;Conzieu;20,5;8,2;2,9;87,5;0;0 - Absence de PPRN;64,4
01118;Corbonod;37,6;56;1,6;76,7;0;0 - Absence de PPRN;117,2
01119;Corcelles;16,8;23,6;2,1;72,9;0;0 - Absence de PPRN;119,2
01121;Corlier;21,4;33,9;0;72,9;0;0 - Absence de PPRN;71
01122;Cormaranche-en-Bugey;42,9;29,1;4,6;85,9;0;0 - Absence de PPRN;105,5
01123;Cormoranche-sur-Saône;108;43,4;10,5;85,7;0;2 - PPRN approuvé;85,2
01124;Cormoz;34,2;25,7;2,2;79,5;0;0 - Absence de PPRN;124,5
01125;Corveissiat;26,8;45,4;1,9;75,8;0;0 - Absence de PPRN;76,8
01127;Courmangoux;33,7;19,1;1,7;83,3;0;0 - Absence de PPRN;119,8
01128;Courtes;30,4;127,2;0,6;82,6;0;0 - Absence de PPRN;107,6
01129;Crans;19,9;15,8;0;90,6;0;0 - Absence de PPRN;101,5
01130;Cras-sur-Reyssouze;98,8;22,1;6,3;81,4;0;2 - PPRN approuvé;57,7
01133;Cressin-Rochefort;48,5;11,4;0;79,3;0;2 - PPRN approuvé;84,4
01134;Crottet;141,2;58,6;17;75,7;0;2 - PPRN approuvé;76,5
01135;Crozet;72,1;27,8;8,3;70,4;0;0 - Absence de PPRN;50
01136;Cruzilles-lès-Mépillat;69,7;11,8;3,5;87,8;0;0 - Absence de PPRN;78,2
01138;Culoz;153,8;157,3;11,6;52,8;0;2 - PPRN approuvé;102,1
01139;Curciat-Dongalon;18,8;51,3;1,8;75,6;0;0 - Absence de PPRN;156,7
01140;Curtafond;57;37,9;3,9;80;0;0 - Absence de PPRN;88,2
01141;Cuzieu;84,7;11;0;88,2;0;0 - Absence de PPRN;107,1
01142;Dagneux;608,3;86,6;42;66,9;0;2 - PPRN approuvé;59,7
01143;Divonne-les-Bains;255,3;51,4;18,9;57;0;0 - Absence de PPRN;76,2
01144;Dommartin;50,7;32,9;0;79,9;0;0 - Absence de PPRN;80,3
01145;Dompierre-sur-Veyle;40,9;30,7;1,6;70,1;0;0 - Absence de PPRN;75,9
01146;Dompierre-sur-Chalaronne;82,9;23,2;7,5;83,4;0;0 - Absence de PPRN;43,9
01147;Domsure;30,6;26,9;0;81,5;0;0 - Absence de PPRN;112,6
01148;Dortan;100,2;33,9;7;63,8;0;2 - PPRN approuvé;90,1
01149;Douvres;189,3;14,9;13,2;86;0;2 - PPRN approuvé;57,9
01150;Drom;27,4;31,6;3,2;77,9;0;0 - Absence de PPRN;63,8
01151;Druillat;55,4;24,5;9,1;84,9;0;0 - Absence de PPRN;101,7
01152;Échallon;27,4;17;2,6;85,7;0;0 - Absence de PPRN;78
01153;Échenevex;110;20,7;12,4;80;0;0 - Absence de PPRN;47,3
01154;Étrez;64,8;54;7,4;70;0;0 - Absence de PPRN;50
01155;Évosges;12;25;0;74,2;0;0 - Absence de PPRN;118,8
01156;Faramans;66,2;24,5;4;85,8;0;0 - Absence de PPRN;65,9
01157;Fareins;264,6;34,7;25,4;80,1;0;2 - PPRN approuvé;75,6
01158;Farges;64,3;10,9;3,7;78,7;0;0 - Absence de PPRN;59,7
01159;Feillens;211,9;89,8;22,2;67,9;0;2 - PPRN approuvé;113,2
01160;Ferney-Voltaire;1850,1;74,7;40,6;37,3;0;0 - Absence de PPRN;67,5
01162;Flaxieu;22,1;38,1;0;80;0;2 - PPRN approuvé;81,8
01163;Foissiat;49,2;26,4;2,1;78,8;0;0 - Absence de PPRN;95,6
