Régions;Départements;Break;Cabriolet;Conduite intérieure;Véhicule pour handicapés;Autres;Total
Alsace;Bas-Rhin;19668;2184;74109;14;54;96029
;Haut-Rhin;14937;1676;56014;6;48;72681
Alsace;Total;34605;3860;130123;20;102;168710

Aquitaine;Dordogne;8171;944;33144;8;42;42309
;Gironde;28384;4221;117207;22;142;149976
;Landes;8762;878;32774;5;56;42475
;Lot-et-Garonne;6185;761;27195;11;36;34188
;Pyrénées-Atlantiques;13009;1250;48165;13;70;62507
Aquitaine;Total;64511;8054;258485;59;346;331455

Auvergne;Allier;5603;579;24723;9;22;30936
;Cantal;2818;149;10105;;50;13122
;Haute-Loire;4495;303;16647;2;62;21509
;Puy-de-Dôme;11232;1183;49052;7;73;61547
Auvergne;Total;24148;2214;100527;18;207;127114

Basse-Normandie;Calvados;12002;1478;50478;9;38;64005
;Manche;9897;867;37199;16;38;48017
;Orne;4715;478;21627;2;17;26839
Basse-Normandie;Total;26614;2823;109304;27;93;138861

Bourgogne;Côte-d'Or;8710;798;34447;6;29;43990
;Nièvre;3272;304;14182;2;18;17778
;Saône-et-Loire;9218;929;38779;10;48;48984
;Yonne;5671;590;24912;2;25;31200
Bourgogne;Total;26871;2621;112320;20;120;141952

Bretagne;Côtes-d'Armor;10337;756;39503;16;19;50631
;Finistère;15903;989;56448;14;36;73390
;Ille-et-Vilaine;17010;1554;65538;16;38;84156
;Morbihan;13793;1153;49332;18;19;64315
Bretagne;Total;57043;4452;210821;64;112;272492

Centre-Val de Loire;Cher;5163;542;22713;5;27;28450
;Eure-et-Loir;6880;783;32530;13;22;40228
;Indre;3893;403;16449;2;19;20766
;Indre-et-Loire;9695;1244;42822;13;26;53800
;Loiret;10727;1324;49589;4;28;61672
;Loir-et-Cher;5811;625;25440;3;19;31898
Centre-Val de Loire;Total;42169;4921;189543;40;141;236814

Champagne-Ardenne;Ardennes;4472;506;20927;2;43;25950
;Aube;4882;600;23077;1;23;28583
;Haute-Marne;3047;356;13482;3;25;16913
;Marne;9001;1080;38505;12;36;48634
Champagne-Ardenne;Total;21402;2542;95991;18;127;120080

Corse;Corse-du-Sud;2828;439;10839;2;47;14155
;Haute-Corse;3336;375;12782;;56;16549
Corse;Total;6164;814;23621;2;103;30704

Franche-Comté;Doubs;11100;897;42730;7;38;54772
;Haute-Saône;4502;399;18906;4;23;23834
;Jura;5602;433;20762;6;21;26824
;Territoire de Belfort;2406;232;10692;2;6;13338
Franche-Comté;Total;23610;1961;93090;19;88;118768

Haute-Normandie;Eure;10435;1646;47892;8;53;60034
;Seine-Maritime;18931;2777;91213;20;49;112990
