Code;ZE;cadres_metro;Part_m20ans;revenu_med;densite;diplomes_sup
0050;Mont-de-Marsan;4,2;21,5;19162;32,7;34,8
0051;Alençon;4,7;24,2;18501,1;50,6;32,9
0052;Cosne-Clamecy;3,4;19,2;18684,7;29,3;30,8
0053;Mâcon;5,7;24,1;19826;93,8;37,7
0054;Nogent-le-Rotrou;3,8;22,5;18881,1;39,8;28,9
0055;Vallée de la Bresle-Vimeu;3,7;22,6;17942,5;86,9;23,9
0056;Roissy - Sud Picardie;7,2;28,9;19299;523,7;35
0057;Brive-la-Gaillarde;5,3;20,5;18873,8;55,3;36,3
0059;Avignon;6,9;24,3;18199;207,5;36,3
0060;Saint-Étienne;6,5;24,6;18921;144,2;39,7
0061;Toulouse;14,7;24,4;21259,5;163,3;54,2
0101;Pointe à Pitre;5,4;28,5;;304,1;31,9
0102;Basse-Terre;2,7;26,3;;262,2;27,2
0103;Marie-Galante;2,4;25,2;;70,7;18,7
0106;Est - Grande-Terre;2,6;28;;194,8;28,4
0201;Centre agglomération;6;25,4;;941,7;38,8
0202;Sud-Caraibe;4,2;25,7;;318,4;36
0203;Sud;2,4;25;;265;27,1
0204;Centre-Atlantique;2,3;25,9;;332,3;29,3
0205;Nord-Caraibe;2,8;24,7;;111,3;28,1
0206;Nord-Atlantique;1,3;23;;121,6;17,5
0301;Cayenne;4,7;38,6;;4,2;24,9
0302;Kourou;6,4;43,9;;2,6;25,4
0303;Saint-Laurent;1,7;49,4;;2;8,8
0401;Est;2,2;35,3;;169,4;20,2
0402;Nord;6,6;30,9;;685,3;33,3
0403;Ouest;4,4;31,9;;394,8;26,5
0404;Sud;2,9;32,1;;319,4;23,4
0601;Mayotte;;54,5;;569,7;
1101;Paris;25,4;23,6;23144,8;9127,6;63,6
1102;Marne-la-Vallée;15,8;27,9;22223,5;1082,4;50,8
1103;Coulommiers;5;27,5;20637,2;98,8;30,7
1104;Meaux;5,2;28,9;20402;219,6;34,4
1105;Melun;8,8;27,9;21782,8;212,8;40,6
1106;Montereau-Fault-Yonne;4,9;27,4;18304,4;138;30,6
1107;Nemours;5,5;25,8;20038,7;88,2;29,5
1108;Provins;3,6;26,1;19493;59,1;27,7
1109;Saint-Quentin-en-Yvelines;9,7;25,4;28156,9;159,1;51,3
1110;Mantes-la-Jolie;6,9;28,6;20294,8;303,7;36,9
1111;Poissy;11,9;27,6;22490,7;915,5;46,2
1112;Rambouillet;9,9;25,9;25996,7;132,9;52,3
1113;Versailles;13,7;27,7;25301,7;460,7;51
1114;Étampes;7,6;27;21184;125,6;36,3
1115;Évry;11,9;29,2;20586;581;39,4
1116;Saclay;21,6;26,9;25449,5;1050,1;53,8
1117;Créteil;8,3;27,4;22279,3;966,3;43,7
1118;Orly;12,2;26,6;19040;4111,9;42,7
1119;Cergy;12,1;28,2;22059,1;616,8;46,4
2101;Charleville-Mézières;3,8;24,5;17416;70,4;29,4
2102;Troyes;5;24,3;18721;49,9;33,5
2103;Châlons-en-Champagne;4,5;24,7;19554,8;38,9;35,7
2104;Épernay;4,8;23,2;20352,9;47,3;31
2105;Reims;7;25,2;19630,6;98,1;43,8
2106;Chaumont-Langres;3,8;21,4;18689;23,8;32
2107;Vitry-le-François/Saint-Dizier;3,4;23,4;17676,7;41,9;27,7
2201;Château-Thierry;4;25,5;19209,5;61,3;31
2202;Tergnier;3;25,2;17090;149;27,3
2203;Thiérache;2,8;25,3;16258,7;52,1;24,3
2204;Laon;3,8;25,7;17987,6;49;30,6
2205;St-Quentin;4;25,8;17320,8;112;30,7
2206;Soissons;4,1;24,9;18163,2;91,9;31,9
2207;Beauvais;5,9;27,1;19732,1;99,2;33,8
2208;Compiègne;6,5;26,2;19973,3;130,3;37,4
2209;Abbeville;3,4;23,8;17625;69,5;30,9
2210;Amiens;5,7;25,5;18778,1;104,7;40,1
2211;Péronne;4,2;24,8;17420;64,2;26
2301;Bernay;4,1;23,9;18978,8;58,3;28
2302;Évreux;5,9;26,3;19920;96,5;32,6
2303;Pont-Audemer;4,3;25,8;18947;83,6;31,3
2304;Vernon - Gisors;6,3;26,7;20011,7;121,2;31,4
2305;Dieppe - Caux maritime;4,3;24,1;18633,4;104,4;29,7
2306;Le Havre;5,9;25,6;19222,7;294,7;34,4
2307;Rouen;7,1;25,3;19716;193,1;40,2
2401;Bourges;5,8;22,7;19496;53,1;38
2402;Saint-Amand-Montrond;3,3;19,5;17587,4;25,6;24,9
2403;Vierzon;4;21,3;18039,3;58,4;27,7
2404;Chartres;7;25,3;20862;78,6;38,4
2405;Châteaudun;4,2;22,7;19088;43,8;26,9
2406;Dreux;5,4;27,5;19682;105,1;32
2407;Le Blanc;3,2;19,1;17765;24,3;29,5
2408;Issoudun;4,9;21,5;18813,3;42;31,1
2409;Châteauroux;4,2;21,1;18460,9;34,8;30,6
2410;Chinon;4,4;22,4;19341,3;61,9;34,1
2411;Loches;4;21,1;18503,5;27,9;30,5
2412;Tours;7,8;24,4;20074,8;119,3;44,7
2413;Blois;6,2;23,8;19886;77,5;37,7
2414;Romorantin-Lanthenay;3,4;20,9;18549;42,7;22,5
2415;Vendôme;5,4;22,5;19298,1;43,9;32,2
2416;Gien;5,5;23,1;19159,6;37,5;29,8
2417;Montargis;4,9;24,4;19013,3;72,7;29,7
2418;Orléans;9,1;25,6;20852;96,8;43,3
2419;Pithiviers;4,6;25,9;19696,8;59,9;26,2
2501;Bayeux;3,8;23,4;18832,9;78,9;30,2
2502;Caen;6,9;25,3;19839,6;157,1;41,3
2503;Honfleur;4,9;21,6;19357;121,6;29,9
2504;Lisieux;4,6;24,3;17890;70,3;28,3
2505;Vire;4,3;22,9;17836,2;59,1;28,5
2506;Avranches;3,2;22;18373;58,9;31,5
2507;Cherbourg-Octeville;5,1;23,8;18855;105,4;34,1
2508;Coutances;4,5;22,8;18192,1;71,8;28,3
2509;Granville;3,7;21;19105;123,6;31,2
2510;Saint-Lô;4,8;24,2;18837,2;80,8;34,7
2511;Argentan;3,1;23,1;18071,5;42,5;27,3
2512;Flers;4,1;22,7;18059,5;61;30,7
2513;L' Aigle;3,2;23,7;17989,6;39,2;26,3
2601;Beaune;6,6;22,9;20356;68,5;40,4
2602;Chatillon;2,7;20,6;18218,4;12,8;29
2603;Dijon;7,9;23,9;20719,7;79,5;44,9
2604;Montbard;4,8;21,7;18828,3;27;30,6
2605;Morvan;2,3;16,8;17496;13;27,4
2606;Nevers;4,7;21,5;18618,3;58,7;32,8
2607;Autun;3,4;20,4;18150;30,1;33,3
2608;Chalon-sur-Saône;5,2;23,3;19290;85,1;35,9
2609;Louhans;2,9;21,2;18376;48,9;24,6
2610;Le Creusot-Montceau;4,6;21,2;18123,5;92,5;31,5
2611;Charolais;3,4;20,2;18232;38,5;30,6
2612;Auxerre;4,8;23,1;19023,4;43,1;30,2
2613;Avallon;4;20,6;18402,2;24;26,6
2614;Sens;4,9;24,8;19352,7;69,2;29,2
3110;Roubaix-Tourcoing;9,6;29,7;17632;1950,8;38,4
3111;Lille;12,2;26,1;19872,3;1211,3;55,6
3112;Dunkerque;4,9;25,8;17909,5;337,9;35,5
3113;Flandre-Lys;4,1;26,4;19370,9;178,9;38,9
3114;Douai;4,8;26,4;17411,7;518,9;33
3115;Valenciennes;5;26,9;16527,5;550,5;34,6
3116;Cambrai;3,7;26,1;17494;155,9;32
3117;Maubeuge;4;26,6;16522,5;164,9;30,7
3121;Arras;5,4;25,4;18958,6;110,3;40
3122;Lens-Hénin;4,6;27,1;15848;1136,2;27,8
3123;Béthune-Bruay;4,3;26,3;17325;422,7;32,8
3124;Saint-Omer;3,7;26,2;17319;166,5;34,6
3125;Calais;3,7;27,9;16943;238,6;31,9
3126;Boulogne-sur-mer;4,5;26,6;17054;252,7;32,5
3127;Berck-Montreuil;3,6;23,7;17860,7;90,6;32,7
4101;Longwy;2,9;23,3;19057;115,6;33,3
4102;Lunéville;3,6;25,3;18167,4;98,6;29,3
4103;Nancy;8;24;20100;149,7;45,2
4104;Bar-le-Duc;4,2;22,7;19253,5;43,8;33,2
