Source;Quel est l'organisme pour lequel vous travaillez ?;Qui etes-vous ?;Si autre, merci de preciser;Quels elements du compte (et du rapport) consultez- vous ? [Analyses redigees];Quels elements du compte (et du rapport) consultez- vous ? [Tableaux annexes du rapport];Quels elements du compte (et du rapport) consultez- vous ? [Tableaux telecharges sur le site du SOeS];Quels elements du compte (et du rapport) consultez- vous ? [Encadres methodologiques];Quels elements du compte (et du rapport) consultez- vous ? [Graphiques];Quels elements du compte (et du rapport) consultez- vous ? [Demande directe à l'equipe];Quels elements du compte (et du rapport) consultez- vous ? [Autre(s)];Preciser;Quelles fiches consultez-vous ? [Vue d'ensemble (synthèse)];Quelles fiches consultez-vous ? [Fiches R (premiers resultats)];Quelles fiches consultez-vous ? [Fiches E (le logement dans l'economie)];Quelles fiches consultez-vous ? [Fiches D (depenses courantes)];Quelles fiches consultez-vous ? [Fiches P (la production de service de logement)];Quelles fiches consultez-vous ? [Fiches I (activite immobilière)];Quelles fiches consultez-vous ? [Fiches A (aides au logement)];Pour ces fiches, consultez-vous...;"Consultez-vous les chiffres concernant les ""loges gratuit"" ?";"Consultez-vous les donnees sur les ""loges gratuit"" [Loges gratuits des bailleurs personnes physiques]";"Consultez-vous les donnees sur les ""loges gratuit"" [Loges gratuit des bailleurs HLM]";"Consultez-vous les donnees sur les ""loges gratuit"" [Loges gratuit des bailleurs autres sociaux]";"Consultez-vous les donnees sur les ""loges gratuit"" [Loges gratuit des bailleurs autres personnes morales]";Quelle methode adopter pour un programme d'etudes sur le logement ? [Une planification triennale des travaux d'etudes vous paraît-elle  adaptee ?];Quelle methode adopter pour un programme d'etudes sur le logement ? [Souhaitez-vous participer à la selection des etudes presentees à la commission ?];Quelle methode adopter pour un programme d'etudes sur le logement ? [Seriez-vous prets à contribuer à des etudes programmees dans le cadre de la commission ?];Quelle methode adopter pour un programme d'etudes sur le logement ? [Considerez-vous l'evaluation de politiques publiques comme faisatn partie des missions de la commission ?];Faites-nous part de toute remarque sur ce questionnaire !
source;orga;qui;autre;rapport_analyses;rapport_annexes;rapport_tableaux_internet;rapport_methodo;rapport_graphes;rapport_dde_adhoc;rapport_autre;rapport_preciser;fiche_synthese;fiche_R;fiche_E;fiche_D;fiche_P;fiche_I;fiche_A;fiche_elements;LG_global;LG_BPP;LG_HLM;LG_AutSoc;LG_AutBPM;etudes_planif_triennale;etudes_selection;etudes_contrib;etudes_EPP;remarques
Questionnaire CCL;Ecole d'urbanisme de Paris;Personnalite qualifiee de la commission;;De facon approfondie;De facon approfondie;De facon approfondie;Rapidement;Rapidement;Rapidement;Pas du tout;;Toutes;Toutes;Toutes;Quelques-unes;Quelques-unes;Quelques-unes;Toutes;Textes et figures;Non;;;;;Oui;Oui;Oui;Oui;
Questionnaire CCL;Ancols;Autre utilisateur;Charge etudes;;;De facon approfondie;;;;;;Toutes;;;;;;;Textes et figures;Non;;;;;;;;;
Questionnaire CCL;CGEDD;Membre de droit de la commission representant une administration;;Rapidement;De facon approfondie;De facon approfondie;De facon approfondie;Rapidement;Rapidement;;;Toutes;Toutes;Toutes;Toutes;Toutes;Toutes;Toutes;Textes et figures;Oui;Oui;;;;Oui;Oui;Oui;Non;Je pense que les etudes devraient etre recentrees sur la comptabilite (ex: pourquoi le poids de la depense de logement dans le revenu des menages est-il le meme en France, en Allemagne et au Royaume-Uni?), et qu'il faudrait que le SOeS mène les etudes qu'iul souhaite mener sur la formation des prix (ex: effet du prolongement d'une ligne de metro sur les prix) dans un autre cadre que la commission des comptes du logement.  Je pense que la ministre qui a demande à la commission des comptes de travailler sur la formation des prix a fait une erreur.  Il y a trop de points flous dans la comptabilite retracee par le compte du logement pour que la commission des comptes se disperse dans d'autres domaines.
Questionnaire CCL;ANCOLS;Autre utilisateur;;;De facon approfondie;;;;;;;;;;;;;;Textes et figures;Non;;;;;;;;;
Questionnaire CCL;ANCOLS;Membre de droit de la commission representant une administration;;De facon approfondie;De facon approfondie;Rapidement;De facon approfondie;Rapidement;De facon approfondie;;;Toutes;Toutes;Quelques-unes;Quelques-unes;Quelques-unes;Quelques-unes;Toutes;Textes et figures;Non;;;;;Oui;Oui;Oui;Non;
Questionnaire CCL;insee;Autre utilisateur;charge de compte construction;Rapidement;Rapidement;;De facon approfondie;Rapidement;;;;;Quelques-unes;Quelques-unes;Quelques-unes;Aucune;Toutes;Quelques-unes;Textes et figures;Non;;;;;;;;;
Questionnaire CCL;insee;Membre de droit de la commission representant une administration;;Rapidement;Rapidement;De facon approfondie;De facon approfondie;Rapidement;De facon approfondie;Pas du tout;;Toutes;Toutes;Quelques-unes;Quelques-unes;Aucune;Toutes;Quelques-unes;Textes et figures;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;
Questionnaire CCL;Universite de Lille;Personnalite qualifiee de la commission;;Rapidement;;De facon approfondie;De facon approfondie;Rapidement;;;;Quelques-unes;;Quelques-unes;Quelques-unes;Quelques-unes;Quelques-unes;Quelques-unes;Textes et figures;Non;;;;;Non;Non;Oui;Non;
Questionnaire CCL;Banque de France;Suppleant d'un membre de droit;;De facon approfondie;De facon approfondie;De facon approfondie;De facon approfondie;De facon approfondie;De facon approfondie;;;Toutes;Toutes;Toutes;Toutes;Toutes;Toutes;Toutes;Textes et figures;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;
