Parent Country or Area Code,Country or Area Code,Country or Area Name,Parent_Zone_libelle,Continent,Type_Zone
NA,MDG_WORLD,World,Monde,Monde,Monde
M49_NAM,CAN,Canada,Amérique du nord,Amérique du nord,Pays
M49_NAM,USA,United States of America,Amérique du nord,Amérique du nord,Pays
M49_EUR_EE,BLR,Belarus,Europe de l’est,Europe,Pays
M49_EUR_EE,BGR,Bulgaria,Europe de l’est,Europe,Pays
M49_EUR_EE,CZE,Czechia,Europe de l’est,Europe,Pays
M49_EUR_EE,HUN,Hungary,Europe de l’est,Europe,Pays
M49_EUR_EE,POL,Poland,Europe de l’est,Europe,Pays
M49_EUR_EE,MDA,Republic of Moldova,Europe de l’est,Europe,Pays
M49_EUR_EE,ROU,Romania,Europe de l’est,Europe,Pays
M49_EUR_EE,RUS,Russian Federation,Europe de l’est,Europe,Pays
M49_EUR_EE,SVK,Slovakia,Europe de l’est,Europe,Pays
M49_EUR_EE,UKR,Ukraine,Europe de l’est,Europe,Pays
M49_EUR_NE,DNK,Denmark,Europe du nord,Europe,Pays
M49_EUR_NE,EST,Estonia,Europe du nord,Europe,Pays
M49_EUR_NE,FIN,Finland,Europe du nord,Europe,Pays
M49_EUR_NE,ISL,Iceland,Europe du nord,Europe,Pays
M49_EUR_NE,IRL,Ireland,Europe du nord,Europe,Pays
M49_EUR_NE,LVA,Latvia,Europe du nord,Europe,Pays
M49_EUR_NE,LTU,Lithuania,Europe du nord,Europe,Pays
M49_EUR_NE,NOR,Norway,Europe du nord,Europe,Pays
M49_EUR_NE,SWE,Sweden,Europe du nord,Europe,Pays
M49_EUR_NE,GBR,United Kingdom of Great Britain and Northern Ireland,Europe du nord,Europe,Pays
M49_EUR_SE,ALB,Albania,Europe du sud,Europe,Pays
M49_EUR_SE,BIH,Bosnia and Herzegovina,Europe du sud,Europe,Pays
M49_EUR_SE,HRV,Croatia,Europe du sud,Europe,Pays
M49_EUR_SE,GRC,Greece,Europe du sud,Europe,Pays
M49_EUR_SE,ITA,Italy,Europe du sud,Europe,Pays
M49_EUR_SE,MLT,Malta,Europe du sud,Europe,Pays
M49_EUR_SE,MNE,Montenegro,Europe du sud,Europe,Pays
M49_EUR_SE,PRT,Portugal,Europe du sud,Europe,Pays
M49_EUR_SE,SRB,Serbia,Europe du sud,Europe,Pays
M49_EUR_SE,SVN,Slovenia,Europe du sud,Europe,Pays
M49_EUR_SE,ESP,Spain,Europe du sud,Europe,Pays
M49_EUR_SE,MKD,The former Yugoslav Republic of Macedonia,Europe du sud,Europe,Pays
M49_EUR_WE,AUT,Austria,Europe de l’ouest,Europe,Pays
M49_EUR_WE,BEL,Belgium,Europe de l’ouest,Europe,Pays
M49_EUR_WE,FRA,France,Europe de l’ouest,Europe,Pays
M49_EUR_WE,DEU,Germany,Europe de l’ouest,Europe,Pays
M49_EUR_WE,LUX,Luxembourg,Europe de l’ouest,Europe,Pays
M49_EUR_WE,NLD,Netherlands,Europe de l’ouest,Europe,Pays
M49_EUR_WE,CHE,Switzerland,Europe de l’ouest,Europe,Pays
MDG_WORLD,MDG_LAC,Latin America and the Caribbean,Monde,Amérique latine,Zone
MDG_LAC_CAR,BHS,Bahamas,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,BRB,Barbados,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,CUB,Cuba,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,DOM,Dominican Republic,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,GRD,Grenada,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,HTI,Haiti,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,JAM,Jamaica,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,PRI,Puerto Rico,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,LCA,Saint Lucia,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,VCT,Saint Vincent and the Grenadines,Caraïbes,Amérique latine,Pays
MDG_LAC_CAR,TTO,Trinidad and Tobago,Caraïbes,Amérique latine,Pays
M49_LAC_CA,BLZ,Belize,Amérique Centrale,Amérique latine,Pays
M49_LAC_CA,CRI,Costa Rica,Amérique Centrale,Amérique latine,Pays
M49_LAC_CA,SLV,El Salvador,Amérique Centrale,Amérique latine,Pays
M49_LAC_CA,GTM,Guatemala,Amérique Centrale,Amérique latine,Pays
M49_LAC_CA,HND,Honduras,Amérique Centrale,Amérique latine,Pays
M49_LAC_CA,MEX,Mexico,Amérique Centrale,Amérique latine,Pays
M49_LAC_CA,NIC,Nicaragua,Amérique Centrale,Amérique latine,Pays
M49_LAC_CA,PAN,Panama,Amérique Centrale,Amérique latine,Pays
M49_LAC_SA,ARG,Argentina,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,BOL,Bolivia (Plurinational State of),Amérique du sud,Amérique latine,Pays
M49_LAC_SA,BRA,Brazil,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,CHL,Chile,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,COL,Colombia,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,ECU,Ecuador,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,GUY,Guyana,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,PRY,Paraguay,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,PER,Peru,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,SUR,Suriname,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,URY,Uruguay,Amérique du sud,Amérique latine,Pays
M49_LAC_SA,VEN,Venezuela (Bolivarian Republic of),Amérique du sud,Amérique latine,Pays
M49_ASI_CA,KAZ,Kazakhstan,Asie centrale,Asie,Pays
M49_ASI_CA,KGZ,Kyrgyzstan,Asie centrale,Asie,Pays
M49_ASI_CA,TJK,Tajikistan,Asie centrale,Asie,Pays
M49_ASI_CA,TKM,Turkmenistan,Asie centrale,Asie,Pays
M49_ASI_CA,UZB,Uzbekistan,Asie centrale,Asie,Pays
SDG_ASI_SCA,MDG_SAS,Southern Asia,Asie centrale et du sud,Asie,Zone
MDG_SAS,AFG,Afghanistan,Asie du sud,Asie,Pays
MDG_SAS,BGD,Bangladesh,Asie du sud,Asie,Pays
MDG_SAS,BTN,Bhutan,Asie du sud,Asie,Pays
MDG_SAS,IND,India,Asie du sud,Asie,Pays
MDG_SAS,IRN,Iran (Islamic Republic of),Asie du sud,Asie,Pays
MDG_SAS,MDV,Maldives,Asie du sud,Asie,Pays
MDG_SAS,NPL,Nepal,Asie du sud,Asie,Pays
MDG_SAS,PAK,Pakistan,Asie du sud,Asie,Pays
MDG_SAS,LKA,Sri Lanka,Asie du sud,Asie,Pays
M49_ASI_EA,CHN,China,Asie de l’est,Asie,Pays
M49_ASI_EA,PRK,Democratic People's Republic of Korea,Asie de l’est,Asie,Pays
M49_ASI_EA,JPN,Japan,Asie de l’est,Asie,Pays
M49_ASI_EA,MNG,Mongolia,Asie de l’est,Asie,Pays
M49_ASI_EA,KOR,Republic of Korea,Asie de l’est,Asie,Pays
SDG_ESEASI,MDG_SEAS,South-Eastern Asia,Asie de l’est et du sud est,Asie,Zone
MDG_SEAS,BRN,Brunei Darussalam,Asie du sud-est,Asie,Pays
MDG_SEAS,KHM,Cambodia,Asie du sud-est,Asie,Pays
